title,author,tokens,sentences,ttr,sentiment,JJ,JJR,JJS,VBD,MD,RB,RBR,RBS
The Parsons Daughter of Oxney Colne,Trollope Anthony,14302,601,0.29533333333333334,0.1908520798668886,750,42,20,860,318,861,17,6
The Eustace Diamonds,Trollope Anthony,270108,16413,0.34933333333333333,0.08697606165844096,13594,634,501,19078,7111,17582,362,114
The Shepherd of Salisbury Plain and Other Tales,More Hannah,161439,6055,0.3473333333333333,0.13522355078447493,10983,585,386,9625,3110,9843,306,116
Phineas Finn\nThe Irish Member,Trollope Anthony,263407,15677,0.33666666666666667,0.10307784652675804,12703,617,496,17176,7183,17753,376,156
An Autobiography of Anthony Trollope,Trollope Anthony,101365,4302,0.325,0.11971761971176201,6294,278,229,4968,2134,5955,172,78
Amelia — Volume 3,Fielding Henry,71867,3055,0.30966666666666665,0.12874864157119478,4029,190,234,3959,1549,4835,93,95
The Diary and Letters of Madame DArblay — Volume 2,Burney Fanny,185734,8912,0.38866666666666666,0.09654542190305235,11408,472,447,13327,2829,13631,320,358
Amelia — Volume 1,Fielding Henry,72940,2515,0.3416666666666667,0.1518981312127238,4415,264,324,4522,1434,4642,141,110
Index of the Project Gutenberg Works of Anthony Trollope,Trollope Anthony,15817,4184,0.4136666666666667,0.014611089866156758,187,5,1,77,45,104,1,1
The Wolves and the Lamb,Thackeray William Makepeace,18503,1995,0.327,0.06777739348370944,1006,40,39,626,360,946,15,10
Lord Palmerston,Trollope Anthony,65772,2308,0.305,0.08510450606585793,3742,139,100,3584,1205,3201,98,49
The Commentaries of Cæsar,Trollope Anthony,52817,2110,0.32666666666666666,0.00482971563981043,2988,122,111,2176,853,2749,61,16
Roundabout Papers,Thackeray William Makepeace,119879,6434,0.413,0.13027423064967353,8560,267,205,4437,1744,5403,168,113
Cecilia; Or Memoirs of an Heiress — Volume 2,Burney Fanny,109480,4243,0.299,0.040650082488805014,6261,324,259,6822,2401,7929,254,140
Marion Fay: A Novel,Trollope Anthony,211166,13237,0.32233333333333336,0.09922077510009751,10718,499,333,13030,6484,13803,303,100
How Freckle Frog Made Herself Pretty,Herr Charlotte B. (Charlotte Bronte),1828,89,0.16733333333333333,0.3679303370786516,161,5,10,160,29,154,4,1
Frankenstein; Or The Modern Prometheus,Shelley Mary Wollstonecraft,74685,3076,0.38166666666666665,0.05027233420025995,4659,142,140,5589,1242,3733,146,78
Catherine: A Story,Thackeray William Makepeace,66427,2324,0.381,0.13195890705679883,4070,136,144,4415,884,3412,106,30
